Timestamp,Age,Gender,Level of Education(Mention  Highest Degree completed),What languages do you speak fluently?(Mention all),Where are you from?(Mention State),Hobbies,"special skills (e.g. programming, dancing, math,
sports)",How satisfied are you with life?,1. Missing planned work due to smartphone use,"2. Having a hard time concentrating in class, while doing assignments, or while working due to smartphone use",3. Feeling pain in the wrists or at the back of the neck while using a smartphone,4. Won’t be able to stand not having a smartphone,5. Feeling impatient and fretful when I am not holding my smartphone,6. Having my smartphone in my mind even when I am not using it,7. I will never give up using my smartphone even when my daily life is already greatly affected by it,"8.  Constantly checking my smartphone so as not to miss conversations between other people on WhatsApp, Facebook, or Instagram",9. Using my smartphone longer than I had intended,10. The people around me tell me that I use my smartphone too much,addiction score,1. I am good at resisting temptation.,2. I have a hard time breaking bad habits.,3. I am lazy.,4. I say inappropriate things.,"5. I do certain things that are bad for me, if they are fun.",6. I refuse things that are bad for me.,7.  I wish I had more self-discipline.,8. People would say that 1 have iron self-discipline.,9.  Pleasure and fun sometimes keep me from getting work done.,10. I have trouble concentrating.,11.  I am able to work effectively toward long-term goals.,"12. Sometimes I can’t stop myself from doing something, even if I know it is wrong.",13. I often act without thinking through all the alternatives.,self control score,"Have you ever been diagnosed with any mental health conditions (e.g., depression, anxiety, ADHD)?( If yes, please specify)",How many hours per day do you typically spend using your smartphone?,Score,Email address
12-04-2024 20:00,20,Male,12,"hindi,english,gujarati",Gujarat,Sleeping ,NA,3,3,2,2,2,3,2,2,3,6,4,29,2,4,5,4,3,3,4,3,3,1,3,4,3,34,no,10,,
13-04-2024 13:25,38,Female,grad,"Gujarati, Hindi, English ",Gujarat,Painting ,NA,4,3,3,2,1,1,1,2,2,2,2,19,2,2,1,1,1,1,3,2,4,3,4,2,3,43,No,5 hrs,,
13-04-2024 13:42,20,Male,grad,"Gujarati, hindi, english ",Gujarat,Watching movies ,Programing,4,2,2,2,2,2,2,3,2,4,2,23,3,1,1,2,2,4,2,3,3,2,2,2,3,48,No,3,,
13-04-2024 13:50,41,Female,M.A,"Gujarati, Hindi",Gujarat ,Yoga ,Yoga,5,2,2,2,1,1,1,1,1,3,1,15,3,3,1,1,1,3,4,4,1,3,3,3,2,48,No,1,,
13-04-2024 14:20,55,Male,grad,Gujarati Hindi English,Gujarat,Playing cricket,Cricket ,5,1,1,1,1,1,1,1,1,1,1,10,4,5,1,1,1,1,5,5,5,5,5,5,1,40,No,1,,
13-04-2024 14:25,37,Male,M.pharm,Gujarati,Gujarat,Travelling,Math,4,6,6,6,5,3,3,5,5,4,3,46,4,4,3,3,2,2,4,2,4,2,4,4,4,36,No,4 Hrs,,
13-04-2024 14:29,48,Male,B.A,Gujarati ,Gujarat ,Yoga ,Dancing ,0,3,4,4,2,3,6,4,2,2,3,33,3,2,3,3,2,3,2,1,4,3,5,4,3,40,Anger ,1hour,,
13-04-2024 14:31,42,Male,grad,Gujarati,Gujarat,Reading books,Math,5,6,6,6,1,1,1,1,1,1,1,25,5,1,2,1,1,5,5,3,5,1,5,1,2,53,No,3,,
13-04-2024 14:36,46,Female,B.A,Gujarati Hindi ,Gujarat ,Reading books,Enchoring,5,5,4,5,3,4,5,4,4,4,5,43,4,4,3,3,4,4,5,4,4,4,3,3,3,36,Anxiety ,One,,
13-04-2024 17:11,40,Male,M com ,Hindi Gujarati ,Gujarat,Playing cricket,Sports ,5,6,6,6,6,6,6,6,6,5,6,59,5,5,5,5,5,5,5,5,5,5,5,5,5,29,No,2 hours ,,
13-04-2024 17:38,47,Female,grad,"Gujarati, Hindi",Gujarat,Yoga ,Sports,4,1,1,2,1,1,1,1,1,1,1,11,5,1,1,1,1,5,5,3,1,1,5,2,2,57,No,1 hour,,
13-04-2024 18:07,26,Female,CS,"Gujarati, Hindi, English",Gujarat ,Travelling,Chilling ,4,3,2,1,4,2,2,1,1,4,1,21,5,1,5,1,3,4,5,1,2,2,5,1,4,45,Not yet ,2-3 hours ,,
13-04-2024 18:26,34,Male,B.A,"Gujarati, Hindi",Gujarat,Listening to poems,Sports ,3,5,4,3,2,2,2,2,2,4,3,29,4,4,4,2,3,3,4,2,3,3,2,3,2,37,No,2.5,,
14-04-2024 14:15,20,Male,12,"Hindi, English, Maithili ",Bihar,Reading books,Sports ,4,3,2,1,1,1,3,1,4,5,5,26,4,2,3,4,3,4,5,2,2,1,1,2,1,42,No,17,,
14-04-2024 14:33,21,Male,12,"Hindi, English, Urdu",Chhattisgarh,Study history,Math,5,5,4,4,4,3,2,1,5,2,1,31,4,4,4,4,2,5,4,4,4,4,3,2,2,40,Yes,3,,
14-04-2024 14:44,21,Male,12,"English, Bangla, Hindi",Madhya Pradesh,Photography,Programing,1,1,3,1,1,5,2,1,5,5,2,26,4,5,2,4,3,3,4,2,2,4,5,3,3,38,"Yes, Depression",3,,
14-04-2024 14:45,20,Male,12,Hindi,Uttar Pradesh ,Photography ,Data analysis ,4,6,4,4,4,4,4,3,6,6,5,46,4,3,3,3,4,3,5,3,3,3,3,3,3,37,No,5-6hours,,
14-04-2024 16:41,19,Male,12,"English, Hindi, Telugu, Urdu",Andhrapradesh,Watching movies ,Programming,4,6,6,1,6,3,2,3,6,6,6,45,1,5,5,3,5,3,5,1,5,5,4,5,5,20,No,8,,
14-04-2024 17:16,21,Female,12,"Hindi, English ",Bihar,Dancing ,Dancing ,2,6,5,3,3,3,3,3,3,3,3,35,2,4,3,3,2,5,5,3,4,3,3,2,4,37,No,6-7 hpurs,,
14-04-2024 17:26,21,Female,12,"English, Hindi",Uttar Pradesh ,Painting ,Creative writing ,3,2,3,2,1,1,2,1,4,4,2,22,4,4,3,2,2,4,4,3,3,2,4,2,2,45,No ,3 hours on an average ,,
14-04-2024 18:08,20,Male,12,"Tamil, telugu, hindi, english",Andhra Pradesh ,Reading books,NA,3,4,4,3,2,1,1,3,5,5,3,31,3,3,5,3,3,3,5,3,2,4,2,2,3,35,I dont know,7hrs,,
14-04-2024 22:08,21,Female,12,English ,Bihar,Dancing ,Programing,4,1,5,1,1,3,1,1,4,3,1,21,4,4,4,2,4,3,5,5,5,4,3,4,4,33,"Yes, anxiety ",2 hrs,,
14-04-2024 22:59,27,Female,MCA,"Gujarati, Hindi ",Gujarat ,Yoga ,Sports ,5,5,4,2,1,1,2,2,1,1,1,20,5,2,1,1,3,5,3,3,4,2,5,4,4,48,No,1 hour ,,
14-04-2024 23:17,22,Male,12,"English,Hindi,Awadhi",Uttar Pradesh,Photography,Programing,5,4,5,5,3,2,2,2,4,5,5,37,3,4,4,2,3,4,5,1,4,3,3,4,2,34,NO,7 to 8,,
14-04-2024 23:32,20,Male,12,Hindi,Maharashtra,Reading books,Sports,2,4,4,4,2,4,3,5,2,5,3,36,2,1,2,4,2,2,3,3,4,2,4,2,3,42,No,5,,
14-04-2024 23:33,20,Male,12,"English, Marathi, Hindi",Maharashtra ,Reading books,Math,4,4,3,1,1,3,1,1,4,3,1,22,5,3,4,1,3,5,3,3,3,3,3,3,3,44,No,2,,
14-04-2024 23:44,21,Male,12,"English, Hindi, Bengali, Odia",Orissa,Writing poems,ML,3,4,4,4,2,2,2,1,3,4,3,29,5,3,3,4,2,4,3,3,3,2,4,2,2,46,Nothing particular.,"3-4 hours. I try to reduce screentime by using Airplane mode, and widgets to display screentime. ",,
